site_id,name,suburb,price_cpl,fairness_score,rating,spatial_cluster,latitude,longitude,moran_p
61401106,Station Unknown,Unknown,196.5666666666667,-1.823366666666658,⚪ Fair Market,Neutral,-27.452584,153.041807,0.418
61401117,Station Unknown,Unknown,206.5666666666667,8.176633333333342,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.483891,153.020309,0.035
61401118,Station Unknown,Unknown,195.0666666666667,-3.323366666666658,✅ Great Value,Neutral,-27.48469982543029,153.03976776686477,0.053
61401119,Station Unknown,Unknown,193.9,-4.4900333333333435,✅ Great Value,Neutral,-27.479316,153.043606,0.122
61401124,Station Unknown,Unknown,196.23333333333335,-2.1567000000000007,✅ Super Value,🟢 Cold Spot (Low-Low),-27.490753,153.040153,0.042
61401126,Station Unknown,Unknown,206.4,8.009966666666656,⚠️ Expensive,Neutral,-27.467628,153.007504,0.104
61401128,Station Unknown,Unknown,205.9,7.5099666666666565,⚠️ Expensive,Neutral,-27.452187,153.062044,0.315
61401131,Station Unknown,Unknown,205.5666666666667,7.176633333333342,⚠️ Expensive,Neutral,-27.472155835233437,153.05947272883606,0.49
61401132,Station Unknown,Unknown,197.0666666666667,-1.323366666666658,⚪ Fair Market,Neutral,-27.488386,153.047595,0.118
61401134,Station Unknown,Unknown,205.0666666666667,6.676633333333342,⚠️ Expensive,Neutral,-27.491978,153.064833,0.309
61401136,Station Unknown,Unknown,206.0666666666667,7.676633333333342,⚠️ Expensive,Neutral,-27.483909,153.063748,0.348
61401137,Station Unknown,Unknown,191.23333333333335,-7.156700000000001,✅ Great Value,Neutral,-27.479358,153.071094,0.443
61401138,Station Unknown,Unknown,205.9,7.5099666666666565,⚠️ Expensive,Neutral,-27.492781,153.082664,0.398
61401140,Station Unknown,Unknown,205.4,7.0099666666666565,⚠️ Expensive,Neutral,-27.46640548892771,153.07819476837022,0.09
61401142,Station Unknown,Unknown,205.4,7.0099666666666565,⚠️ Expensive,Neutral,-27.466503,153.079198,0.09
61401147,Station Unknown,Unknown,204.23333333333335,5.843299999999999,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.469816,153.095634,0.011
61401148,Station Unknown,Unknown,202.73333333333335,4.343299999999999,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.471389,153.095619,0.011
61401149,Station Unknown,Unknown,202.23333333333335,3.8432999999999993,⚠️ Expensive,Neutral,-27.474597374792506,153.12096549570083,0.052
61401155,Station Unknown,Unknown,205.9,7.5099666666666565,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.505555,153.099646,0.01
61401156,Station Unknown,Unknown,191.1,-7.290033333333355,✅ Great Value,Neutral,-27.488687,153.194782,0.332
61401157,Station Unknown,Unknown,208.5666666666667,10.176633333333342,⚠️ Expensive,Neutral,-27.494931,153.212762,0.305
61401159,Station Unknown,Unknown,200.23333333333335,1.8432999999999993,⚪ Fair Market,Neutral,-27.487062,153.238493,0.363
61401160,Station Unknown,Unknown,201.0666666666667,2.676633333333342,⚠️ Expensive,Neutral,-27.523907,153.258759,0.439
61401167,Station Unknown,Unknown,204.5666666666667,6.176633333333342,⚠️ Expensive,Neutral,-27.507802,152.948185,0.174
61401170,Station Unknown,Unknown,204.73333333333335,6.343299999999999,⚠️ Expensive,Neutral,-27.504769592318205,152.96077843320464,0.176
61401172,Station Unknown,Unknown,206.4,8.009966666666656,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.491609,152.994039,0.002
61401173,Station Unknown,Unknown,197.9,-0.49003333333334353,⚪ Fair Market,Neutral,-27.499530327092497,152.9754396405449,0.251
61401177,Station Unknown,Unknown,207.0666666666667,8.676633333333342,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.521931,152.980164,0.008
61401180,Station Unknown,Unknown,184.23333333333335,-14.1567,✅ Super Value,🟢 Cold Spot (Low-Low),-27.532831,152.983247,0.001
61401183,Station Unknown,Unknown,170.4,-27.990033333333344,✅ Super Value,🟢 Cold Spot (Low-Low),-27.512236,153.032024,0.003
61401185,Station Unknown,Unknown,210.23333333333335,11.8433,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.508609,153.025429,0.006
61401188,Station Unknown,Unknown,210.0666666666667,11.676633333333342,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.519285,153.015135,0.001
61401189,Station Unknown,Unknown,193.73333333333335,-4.656700000000001,✅ Super Value,🟢 Cold Spot (Low-Low),-27.524123,153.023568,0.001
61401195,Station Unknown,Unknown,194.4,-3.9900333333333435,✅ Super Value,🟢 Cold Spot (Low-Low),-27.539627,153.022022,0.001
61401197,Station Unknown,Unknown,165.86666666666667,-32.523366666666675,✅ Super Value,🟢 Cold Spot (Low-Low),-27.538641,153.005432,0.001
61401199,Station Unknown,Unknown,196.0666666666667,-2.323366666666658,✅ Great Value,Neutral,-27.502373,153.045544,0.058
61401200,Station Unknown,Unknown,173.66666666666666,-24.723366666666692,✅ Super Value,🟢 Cold Spot (Low-Low),-27.504612,153.040209,0.021
61401206,Station Unknown,Unknown,184.9,-13.490033333333344,✅ Great Value,Neutral,-27.696645,153.038101,0.366
61401210,Station Unknown,Unknown,208.5666666666667,10.176633333333342,⚠️ Expensive,Neutral,-27.515107,153.072439,0.395
61401212,Station Unknown,Unknown,188.9,-9.490033333333344,✅ Great Value,Neutral,-27.529893329941103,153.07154507422237,0.457
61401218,Station Unknown,Unknown,184.0,-14.39003333333335,✅ Great Value,🔵 Cold outlier (Low-High),-27.199148,153.032128,0.049
