site_id,price_cpl,reported_at,region,latitude,longitude,scraped_at
61401281,219.9,2025-12-02T16:00:00,North,-27.375007,153.024566,2025-12-03 02:13:22
61401282,219.9,2025-12-01T21:57:29.84,North,-27.379293,153.046309,2025-12-03 02:13:22
61401288,219.9,2025-11-20T23:22:04.44,North,-27.391946,153.058897,2025-12-03 02:13:22
61401291,219.9,2025-11-24T14:01:00,North,-27.398473,153.059252,2025-12-03 02:13:22
61401292,219.9,2025-12-01T00:00:15.187,North,-27.380227,153.022597,2025-12-03 02:13:22
61401296,184.9,2025-12-01T21:04:12.61,North,-27.386791,153.087063,2025-12-03 02:13:22
61401298,219.9,2025-12-02T16:00:29.987,North,-27.393208,153.072252,2025-12-03 02:13:22
61401301,219.9,2025-11-24T14:01:00,North,-27.396824,152.960709,2025-12-03 02:13:22
61401302,219.9,2025-11-20T22:35:45.137,North,-27.397654,152.958951,2025-12-03 02:13:22
61401307,219.9,2025-12-02T16:00:29.987,North,-27.402342,152.937156,2025-12-03 02:13:22
61401309,219.9,2025-11-26T03:31:46.853,North,-27.401257,152.986898,2025-12-03 02:13:22
61401316,219.9,2025-11-23T14:27:53.09,North,-27.409316,153.008034,2025-12-03 02:13:22
61401323,209.9,2025-12-02T16:00:29.987,North,-27.439192,152.989914,2025-12-03 02:13:22
61401324,216.9,2025-12-02T10:51:00,North,-27.438767,153.007379,2025-12-03 02:13:22
61401325,219.9,2025-11-26T07:36:58.66,North,-27.445435,153.008589,2025-12-03 02:13:22
61401328,219.9,2025-11-28T04:33:06.95,North,-27.40208501541335,153.031880046627,2025-12-03 02:13:22
61401329,184.9,2025-12-01T20:21:25.087,North,-27.407241,153.032891,2025-12-03 02:13:22
61401330,189.9,2025-12-01T19:45:49.8,North,-27.408291,153.047525,2025-12-03 02:13:22
61401334,219.9,2025-11-24T14:01:00,North,-27.411093,153.023635,2025-12-03 02:13:22
61401341,219.9,2025-11-17T02:41:54.367,North,-27.427403,153.050405,2025-12-03 02:13:22
61401343,199.7,2025-11-29T06:18:01,North,-27.424641,153.014052,2025-12-03 02:13:22
61401344,219.7,2025-11-28T02:12:39,North,-27.426624,153.017032,2025-12-03 02:13:22
61401347,215.9,2025-12-02T16:00:29.987,North,-27.43604130193541,153.03187014847944,2025-12-03 02:13:22
61401348,174.8,2025-11-30T21:35:10.81,North,-27.425953,153.032041,2025-12-03 02:13:22
61401349,214.9,2025-12-02T14:46:00,North,-27.4289939652634,153.036903,2025-12-03 02:13:22
61401353,219.9,2025-12-02T16:00:29.987,North,-27.439652,153.049148,2025-12-03 02:13:22
61401357,219.9,2025-12-01T19:24:00,North,-27.428241,153.062278,2025-12-03 02:13:22
61401359,219.9,2025-11-28T02:35:10.273,North,-27.434674,153.079056,2025-12-03 02:13:22
61401365,198.9,2025-12-01T22:34:31,North,-27.443116,153.143691,2025-12-03 02:13:22
61401366,219.9,2025-11-21T02:20:47.817,North,-27.443582,153.157939,2025-12-03 02:13:22
61401367,219.9,2025-11-23T20:58:47.183,North,-27.459016,153.151452,2025-12-03 02:13:22
61401371,219.9,2025-11-20T04:13:19.45,North,-27.45463473648407,153.16652018650822,2025-12-03 02:13:22
61401373,219.9,2025-12-02T16:00:29.987,North,-27.457538,153.178798,2025-12-03 02:13:22
61401375,219.9,2025-12-01T19:24:00,North,-27.442904,152.943808,2025-12-03 02:13:22
61401377,219.9,2025-12-02T16:00:29.987,North,-27.446887,152.959528,2025-12-03 02:13:22
61401380,213.9,2025-12-01T19:24:00,North,-27.445996,152.991244,2025-12-03 02:13:22
61401382,213.9,2025-11-29T20:03:44,North,-27.446283,152.997578,2025-12-03 02:13:22
61401386,199.5,2025-11-24T01:13:47.607,North,-27.459076,152.998383,2025-12-03 02:13:22
61401391,219.9,2025-11-24T14:01:00,South,-27.478292616581154,152.98579629447744,2025-12-03 02:13:22
61401393,219.9,2025-11-23T06:05:46.86,South,-27.473913230061896,153.00392841104505,2025-12-03 02:13:22
61401398,219.9,2025-11-22T05:35:45.58,South,-27.542090460066003,153.082005,2025-12-03 02:13:22
61401399,219.9,2025-12-01T19:24:00,South,-27.531577,153.093146,2025-12-03 02:13:22
61401409,209.9,2025-12-02T00:43:53,South,-27.548071,153.265178,2025-12-03 02:13:22
61401411,219.9,2025-11-24T14:01:00,South,-27.536514,152.941898,2025-12-03 02:13:22
61401413,215.9,2025-11-30T08:53:11,South,-27.556355,152.914572,2025-12-03 02:13:22
61401417,219.9,2025-11-30T21:26:30.163,South,-27.553377,152.979052,2025-12-03 02:13:22
61401421,164.9,2025-11-30T21:25:18.083,South,-27.577748,152.973748,2025-12-03 02:13:22
61401422,219.9,2025-12-01T19:24:00,South,-27.579387,152.974637,2025-12-03 02:13:22
61401426,189.9,2025-11-28T07:01:15.74,South,-27.558051,153.015628,2025-12-03 02:13:22
61401427,159.9,2025-11-26T23:38:38,South,-27.558117,153.006258,2025-12-03 02:13:22
61401428,219.9,2025-11-23T19:15:58.547,South,-27.560256,153.000988,2025-12-03 02:13:22
61401431,219.9,2025-11-28T23:20:06.343,South,-27.545888,153.038591,2025-12-03 02:13:22
61401436,209.9,2025-11-28T01:13:21.133,South,-27.566916,153.064574,2025-12-03 02:13:22
61401438,219.9,2025-11-25T02:45:50.783,South,-27.575889,153.062992,2025-12-03 02:13:22
61401440,198.9,2025-12-01T05:52:03.687,South,-27.57032397205679,153.055617,2025-12-03 02:13:22
61401441,219.9,2025-12-01T19:24:00,South,-27.589068,153.027286,2025-12-03 02:13:22
61401444,217.9,2025-12-01T19:24:00,South,-27.575428,153.039586,2025-12-03 02:13:22
61401445,219.9,2025-12-01T19:24:00,South,-27.556364,153.089765,2025-12-03 02:13:22
61401446,209.9,2025-11-30T23:39:40,South,-27.561518,153.089268,2025-12-03 02:13:22
61401447,209.9,2025-12-02T16:00:00,South,-27.562252,153.074394,2025-12-03 02:13:22
61401448,219.9,2025-11-24T00:30:58.553,South,-27.561152,153.078726,2025-12-03 02:13:22
61401450,219.9,2025-11-27T00:48:04.583,South,-27.575212,153.091639,2025-12-03 02:13:22
61401453,167.0,2025-12-01T21:49:44.603,South,-27.598823,153.109346,2025-12-03 02:13:22
61401457,219.9,2025-12-01T19:24:00,South,-27.603119,152.761629,2025-12-03 02:13:22
61401460,219.9,2025-12-01T19:24:00,South,-27.598004,152.832107,2025-12-03 02:13:22
