site_id,diff,strategy,discount_depth
61401106,3.7092138156409455,Premium (Leader),-3.7092138156409455
61401117,0.6124137931034473,Market Follower,-0.6124137931034473
61401118,0.5681351861382685,Market Follower,-0.5681351861382685
61401119,-1.6241195176923877,Market Follower,1.6241195176923877
61401124,6.7052611585944915,Premium (Leader),-6.7052611585944915
61401126,0.0,Market Follower,-0.0
61401128,1.6517985611510824,Market Follower,-1.6517985611510824
61401131,11.762162162162156,Premium (Leader),-11.762162162162156
61401132,1.9610158298900064,Market Follower,-1.9610158298900064
61401134,5.641269841269832,Premium (Leader),-5.641269841269832
61401136,1.6517985611510824,Market Follower,-1.6517985611510824
61401137,-10.929178891865462,Discounter (Value),10.929178891865462
61401138,0.0,Market Follower,-0.0
61401140,1.6517985611510824,Market Follower,-1.6517985611510824
61401142,1.6517985611510824,Market Follower,-1.6517985611510824
61401147,13.786889685384324,Premium (Leader),-13.786889685384324
61401148,1.1417283950617236,Market Follower,-1.1417283950617236
61401149,1.1417283950617236,Market Follower,-1.1417283950617236
61401155,5.641269841269832,Premium (Leader),-5.641269841269832
61401156,4.6767441860465055,Premium (Leader),-4.6767441860465055
61401157,8.375880482307613,Premium (Leader),-8.375880482307613
61401159,7.709213815640946,Premium (Leader),-7.709213815640946
61401160,-1.1016393442622814,Market Follower,1.1016393442622814
61401167,3.7136128338708354,Premium (Leader),-3.7136128338708354
61401170,0.0,Market Follower,-0.0
61401172,0.0,Market Follower,-0.0
61401173,-1.8428898553589665,Market Follower,1.8428898553589665
61401177,11.705374204720576,Premium (Leader),-11.705374204720576
61401180,-16.054700854700855,Discounter (Value),16.054700854700855
61401183,-22.407108814240605,Discounter (Value),22.407108814240605
61401185,9.234801852804935,Premium (Leader),-9.234801852804935
61401188,9.568135186138269,Premium (Leader),-9.568135186138269
61401189,1.1797861675565855,Market Follower,-1.1797861675565855
61401195,-0.2907861843590543,Market Follower,0.2907861843590543
61401197,-43.18069529578438,Discounter (Value),43.18069529578438
61401199,5.623601181139037,Premium (Leader),-5.623601181139037
61401200,-21.76531119332115,Discounter (Value),21.76531119332115
61401206,-9.603090082865549,Discounter (Value),9.603090082865549
61401210,1.6517985611510824,Market Follower,-1.6517985611510824
61401212,9.341379310344848,Premium (Leader),-9.341379310344848
61401218,-26.758730158730174,Discounter (Value),26.758730158730174
61401224,1.6517985611510824,Market Follower,-1.6517985611510824
61401225,-25.81146817211304,Discounter (Value),25.81146817211304
61401227,0.0,Market Follower,-0.0
61401228,11.705374204720576,Premium (Leader),-11.705374204720576
61401229,1.6517985611510824,Market Follower,-1.6517985611510824
61401234,2.3432479124676227,Market Follower,-2.3432479124676227
61401235,-24.961405508072176,Discounter (Value),24.961405508072176
61401238,-5.654700854700849,Discounter (Value),5.654700854700849
61401246,11.705374204720576,Premium (Leader),-11.705374204720576
61401249,11.705374204720576,Premium (Leader),-11.705374204720576
61401250,11.705374204720576,Premium (Leader),-11.705374204720576
61401252,-35.898644526654486,Discounter (Value),35.898644526654486
61401254,-27.928502489860875,Discounter (Value),27.928502489860875
61401255,-31.949528434401696,Discounter (Value),31.949528434401696
61401257,8.372040871387242,Premium (Leader),-8.372040871387242
61401258,-28.294625795279426,Discounter (Value),28.294625795279426
61401261,-23.62411951769239,Discounter (Value),23.62411951769239
61401263,-28.01619510106836,Discounter (Value),28.01619510106836
61401264,11.705374204720576,Premium (Leader),-11.705374204720576
61401265,11.898360655737719,Premium (Leader),-11.898360655737719
61401272,5.641269841269832,Premium (Leader),-5.641269841269832
61401276,11.705374204720576,Premium (Leader),-11.705374204720576
61401279,-11.624119517692387,Discounter (Value),11.624119517692387
61401280,7.331034482758639,Premium (Leader),-7.331034482758639
61401281,11.709213815640945,Premium (Leader),-11.709213815640945
61401282,5.486490820927912,Premium (Leader),-5.486490820927912
61401288,2.1304347826087167,Market Follower,-2.1304347826087167
61401291,1.6517985611510824,Market Follower,-1.6517985611510824
61401292,14.345299145299151,Premium (Leader),-14.345299145299151
61401296,-16.62795912861276,Discounter (Value),16.62795912861276
61401298,8.375880482307613,Premium (Leader),-8.375880482307613
61401301,1.6517985611510824,Market Follower,-1.6517985611510824
61401302,2.032703648175925,Market Follower,-2.032703648175925
61401307,8.375880482307613,Premium (Leader),-8.375880482307613
61401309,6.029084716900816,Premium (Leader),-6.029084716900816
61401316,0.0,Market Follower,-0.0
61401323,1.7092138156409458,Market Follower,-1.7092138156409458
61401324,10.179899213682669,Premium (Leader),-10.179899213682669
61401325,2.562418050234148,Market Follower,-2.562418050234148
61401328,11.145369666702862,Premium (Leader),-11.145369666702862
61401329,1.6276824965566732,Market Follower,-1.6276824965566732
61401330,-12.984081530987728,Discounter (Value),12.984081530987728
61401334,1.6517985611510824,Market Follower,-1.6517985611510824
61401341,0.0,Market Follower,-0.0
61401343,-1.2322580645161167,Market Follower,1.2322580645161167
61401344,11.698360655737702,Premium (Leader),-11.698360655737702
61401347,2.3758804823076125,Market Follower,-2.3758804823076125
61401348,-16.628502489860875,Discounter (Value),16.628502489860875
61401349,8.179899213682669,Premium (Leader),-8.179899213682669
61401353,5.042547148974279,Premium (Leader),-5.042547148974279
61401357,11.705374204720576,Premium (Leader),-11.705374204720576
61401359,11.898360655737719,Premium (Leader),-11.898360655737719
61401365,-6.654700854700849,Discounter (Value),6.654700854700849
61401366,6.840000000000013,Premium (Leader),-6.840000000000013
61401367,0.0,Market Follower,-0.0
61401371,2.1304347826087167,Market Follower,-2.1304347826087167
61401373,10.709213815640945,Premium (Leader),-10.709213815640945
