site_id,price_cpl,reported_at,name,latitude,longitude,brand_id,postcode,region,state,scraped_at
61477738,233.9,2026-09-16T20:05:22.45,Shell Reddy Express Kedron,-27.402657,153.031179,3421193,4031,North,QLD,2026-09-18 15:24:48
61477701,239.9,2026-09-16T20:05:22.45,Shell Reddy Express Ipswich North,-27.603381,152.761975,3421193,4305,South,QLD,2026-09-18 15:24:48
61401212,237.9,2026-09-16T20:05:22.45,Shell Reddy Express Logan Rd,-27.529893329941103,153.07154507422237,3421193,4122,South,QLD,2026-09-18 15:24:48
61401537,235.9,2026-09-16T20:05:22.45,Shell Reddy Express Virginia,-27.369917,153.061735,3421193,4014,North,QLD,2026-09-18 15:24:48
61401530,237.9,2026-09-16T20:05:22.45,Shell Reddy Express Coorparoo,-27.496996,153.055324,3421193,4151,South,QLD,2026-09-18 15:24:48
61477074,239.9,2026-09-16T20:05:22.45,Shell Reddy Express Brisbane Airport,-27.395647908199038,153.10774790674594,3421193,4007,North,QLD,2026-09-18 15:24:48
61401911,239.9,2026-09-16T20:05:22.45,Shell Reddy Express Karalee,-27.572365,152.791976,3421193,4306,South,QLD,2026-09-18 15:24:48
61401366,239.9,2026-09-16T20:05:22.45,Shell Reddy Express Wynnum,-27.443582,153.157939,3421193,4178,North,QLD,2026-09-18 15:24:48
61401128,236.9,2026-09-16T20:05:22.45,Shell Reddy Express Balmoral,-27.452187,153.062044,3421193,4171,North,QLD,2026-09-18 15:24:48
61401959,236.9,2026-09-16T20:05:22.45,Shell Reddy Express Windsor (Qld),-27.439346,153.030343,3421193,4030,North,QLD,2026-09-18 15:24:48
61402844,235.9,2026-09-16T20:05:22.45,Shell Reddy Express Mango Hill,-27.242734,153.023984,3421193,4509,North,QLD,2026-09-18 15:24:48
61401272,239.9,2026-09-16T20:05:22.45,Shell Reddy Express Stafford Heights,-27.391747,153.011652,3421193,4053,North,QLD,2026-09-18 15:24:48
61401265,233.9,2026-09-16T20:05:22.45,Shell Reddy Express Aspley,-27.359961,153.016587,3421193,4034,North,QLD,2026-09-18 15:24:48
61401561,237.9,2026-09-16T20:15:32.957,Shell Reddy Express Kippa-Ring,-27.229066920171583,153.08538009325412,3421193,4021,North,QLD,2026-09-18 15:24:48
61477787,233.9,2026-09-16T20:15:32.957,Shell Reddy Express Kedron Inbound,-27.397698,153.032006,3421193,4031,North,QLD,2026-09-18 15:24:48
